,endTime,artistName,trackName,msPlayed,UniqueID,In Library,album,track_uri
440,2021-06-29 14:32,Imagine Dragons,Radioactive,186813,Imagine Dragons:Radioactive,1,Night Visions,62yJjFtgkhUrXktIoSjgP2
441,2021-06-29 14:34,Maroon 5,She Will Be Loved - Radio Mix,127016,Maroon 5:She Will Be Loved - Radio Mix,0,,
442,2021-06-29 16:05,L.L.A.M.A,Shake (with Ne-Yo & Carmen DeLeon),49250,L.L.A.M.A:Shake (with Ne-Yo & Carmen DeLeon),0,,
443,2021-06-30 07:46,Maroon 5,Animals,425242,Maroon 5:Animals,1,V,3h4T9Bg8OVSUYa6danHeH5
444,2021-06-30 07:47,Rudimental,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",18227,"Rudimental:These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",0,,
445,2021-06-30 07:50,Imagine Dragons,Radioactive,186813,Imagine Dragons:Radioactive,1,Night Visions,62yJjFtgkhUrXktIoSjgP2
446,2021-06-30 07:50,Skylar Grey,Everything I Need,17976,Skylar Grey:Everything I Need,0,,
447,2021-06-30 07:53,Alan Walker,Sorry,165000,Alan Walker:Sorry,0,,
448,2021-06-30 13:52,K-391,Aurora,5590,K-391:Aurora,0,,
449,2021-06-30 13:55,Alan Walker,Sorry,165000,Alan Walker:Sorry,0,,
450,2021-06-30 13:59,Serhat Durmus,Hislerim,214204,Serhat Durmus:Hislerim,1,Hislerim,32Mh7kOCWmNTZgre0cGvCV
451,2021-06-30 14:00,K-391,End of Time,965,K-391:End of Time,0,,
452,2021-06-30 14:03,Serhat Durmus,Hislerim,214204,Serhat Durmus:Hislerim,1,Hislerim,32Mh7kOCWmNTZgre0cGvCV
453,2021-06-30 14:06,K-391,End of Time,187560,K-391:End of Time,0,,
454,2021-06-30 14:09,Sandro Cavazza,Love To Lose,177731,Sandro Cavazza:Love To Lose,0,,
455,2021-06-30 14:12,League of Legends,Legends Never Die - (Remix),167173,League of Legends:Legends Never Die - (Remix),0,,
456,2021-06-30 14:15,Alan Walker,Different World (feat. CORSAK),202906,Alan Walker:Different World (feat. CORSAK),0,,
